recorded_at_utc,signal_id,strategy,label,direction,source_edge_bps,paper_capital,paper_pnl,source
2026-09-06T15:26:16+00:00,stable_dislocation|FDUSD:Binance|2026-09-06T15:22:52+00:00,stable_dislocation,FDUSD:Binance,below peg,10.500000,100.00,0.052500,latest_stressed_edge_50pct_realization
2026-09-06T15:34:26+00:00,stable_dislocation|FDUSD:Binance|2026-09-06T15:30:54+00:00,stable_dislocation,FDUSD:Binance,below peg,10.500000,100.00,0.052500,latest_stressed_edge_50pct_realization
2026-09-06T17:12:47+00:00,stable_dislocation|FDUSD:Binance|2026-09-06T17:09:02+00:00,stable_dislocation,FDUSD:Binance,below peg,10.500000,100.00,0.052500,latest_stressed_edge_50pct_realization
2026-09-06T18:10:14+00:00,stable_dislocation|FDUSD:Binance|2026-09-06T18:06:39+00:00,stable_dislocation,FDUSD:Binance,below peg,10.500000,100.00,0.052500,latest_stressed_edge_50pct_realization
2026-09-06T21:20:43+00:00,funding_spread|PONSUSDT|2026-09-06T21:18:51+00:00,funding_spread,PONSUSDT,long Bitget / short Gate,19.300000,100.00,0.096500,latest_stressed_edge_50pct_realization
2026-09-06T22:24:35+00:00,funding_spread|PONSUSDT|2026-09-06T22:22:47+00:00,funding_spread,PONSUSDT,long Bitget / short Gate,7.507400,100.00,0.037537,funding_current_after_cost_basis_50pct_realization
2026-09-07T02:04:30+00:00,funding_spread|AKEUSDT|2026-09-07T02:02:56+00:00,funding_spread,AKEUSDT,short Bitget / long Gate,4.830400,100.00,0.024152,funding_current_after_cost_basis_50pct_realization
2026-09-07T05:11:48+00:00,funding_spread|AKEUSDT|2026-09-07T05:10:13+00:00,funding_spread,AKEUSDT,long Bitget / short Gate,2.711550,100.00,0.013558,funding_current_after_cost_basis_50pct_realization
2026-09-07T06:10:43+00:00,funding_spread|PONSUSDT|2026-09-07T06:09:08+00:00,funding_spread,PONSUSDT,long Bitget / short Gate,3.887250,100.00,0.019436,funding_current_after_cost_basis_50pct_realization
2026-09-07T10:17:49+00:00,funding_spread|PONSUSDT|2026-09-07T10:15:58+00:00,funding_spread,PONSUSDT,long Bitget / short Gate,5.996350,100.00,0.029982,funding_current_after_cost_basis_50pct_realization
2026-09-07T13:58:48+00:00,funding_spread|PONSUSDT|2026-09-07T13:57:01+00:00,funding_spread,PONSUSDT,long Bitget / short Gate,14.983050,100.00,0.074915,funding_current_after_cost_basis_50pct_realization
2026-09-07T14:04:14+00:00,funding_spread|PONSUSDT|2026-09-07T14:02:28+00:00,funding_spread,PONSUSDT,long Bitget / short Gate,13.786350,100.00,0.068932,funding_current_after_cost_basis_50pct_realization
2026-09-07T14:46:38+00:00,funding_spread|PONSUSDT|2026-09-07T14:45:13+00:00,funding_spread,PONSUSDT,long Bitget / short Gate,4.249600,100.00,0.021248,funding_current_after_cost_basis_50pct_realization
2026-09-07T15:52:01+00:00,funding_spread|PONSUSDT|2026-09-07T15:50:10+00:00,funding_spread,PONSUSDT,short Bitget / long Gate,0.734850,100.00,0.003674,funding_current_after_cost_basis_50pct_realization
2026-09-07T15:56:24+00:00,funding_spread|PONSUSDT|2026-09-07T15:54:50+00:00,funding_spread,PONSUSDT,short Bitget / long Gate,0.824850,100.00,0.004124,funding_current_after_cost_basis_50pct_realization
2026-09-07T18:20:50+00:00,funding_spread|PONSUSDT|2026-09-07T18:19:22+00:00,funding_spread,PONSUSDT,long Bitget / short Gate,5.577250,100.00,0.027886,funding_current_after_cost_basis_50pct_realization
2026-09-07T18:40:58+00:00,funding_spread|PONSUSDT|2026-09-07T18:39:25+00:00,funding_spread,PONSUSDT,long Bitget / short Gate,0.953100,100.00,0.004765,funding_current_after_cost_basis_50pct_realization
2026-09-07T21:55:06+00:00,funding_spread|PONSUSDT|2026-09-07T21:53:16+00:00,funding_spread,PONSUSDT,short Bitget / long Gate,4.652600,100.00,0.023263,funding_current_after_cost_basis_50pct_realization
2026-09-07T23:57:24+00:00,funding_spread|PONSUSDT|2026-09-07T23:55:54+00:00,funding_spread,PONSUSDT,long Bitget / short Gate,5.376400,100.00,0.026882,funding_current_after_cost_basis_50pct_realization
2026-09-08T02:16:38+00:00,funding_spread|PONSUSDT|2026-09-08T02:15:04+00:00,funding_spread,PONSUSDT,long Bitget / short Gate,14.833100,100.00,0.074165,funding_current_after_cost_basis_50pct_realization
2026-09-08T02:58:41+00:00,funding_spread|PONSUSDT|2026-09-08T02:56:52+00:00,funding_spread,PONSUSDT,long Bitget / short Gate,6.023950,100.00,0.030120,funding_current_after_cost_basis_50pct_realization
2026-09-08T08:01:33+00:00,funding_spread|SOPHUSDT|2026-09-08T07:59:57+00:00,funding_spread,SOPHUSDT,long Bitget / short Gate,11.265700,100.00,0.056329,funding_current_after_cost_basis_50pct_realization
2026-09-08T09:37:37+00:00,funding_spread|SOPHUSDT|2026-09-08T09:36:05+00:00,funding_spread,SOPHUSDT,long Bitget / short Gate,19.735700,100.00,0.098678,funding_current_after_cost_basis_50pct_realization
2026-09-08T11:04:17+00:00,funding_spread|SOPHUSDT|2026-09-08T11:02:48+00:00,funding_spread,SOPHUSDT,long Bitget / short Gate,99.285700,100.00,0.496428,funding_current_after_cost_basis_50pct_realization
2026-09-08T11:52:14+00:00,funding_spread|SOPHUSDT|2026-09-08T11:50:41+00:00,funding_spread,SOPHUSDT,long Bitget / short Gate,98.578150,100.00,0.492891,funding_current_after_cost_basis_50pct_realization
2026-09-08T12:20:07+00:00,funding_spread|SOPHUSDT|2026-09-08T12:18:11+00:00,funding_spread,SOPHUSDT,long Bitget / short Gate,87.582750,100.00,0.437914,funding_current_after_cost_basis_50pct_realization
2026-09-08T12:53:48+00:00,funding_spread|SOPHUSDT|2026-09-08T12:52:14+00:00,funding_spread,SOPHUSDT,long Bitget / short Gate,277.679800,100.00,1.388399,funding_current_after_cost_basis_50pct_realization
2026-09-08T15:33:52+00:00,funding_spread|SOPHUSDT|2026-09-08T15:32:04+00:00,funding_spread,SOPHUSDT,long Bitget / short Gate,453.685700,100.00,2.268429,funding_current_after_cost_basis_50pct_realization
2026-09-08T16:15:02+00:00,funding_spread|SOPHUSDT|2026-09-08T16:13:05+00:00,funding_spread,SOPHUSDT,long Bitget / short Gate,1.342750,100.00,0.006714,funding_current_after_cost_basis_50pct_realization
2026-09-08T16:47:23+00:00,funding_spread|SOPHUSDT|2026-09-08T16:45:31+00:00,funding_spread,SOPHUSDT,long Bitget / short Gate,51.621550,100.00,0.258108,funding_current_after_cost_basis_50pct_realization
2026-09-08T17:05:07+00:00,funding_spread|SOPHUSDT|2026-09-08T17:03:31+00:00,funding_spread,SOPHUSDT,long Bitget / short Gate,126.003300,100.00,0.630017,funding_current_after_cost_basis_50pct_realization
2026-09-08T22:12:34+00:00,funding_spread|SOPHUSDT|2026-09-08T22:10:47+00:00,funding_spread,SOPHUSDT,long Bitget / short Gate,1.406100,100.00,0.007030,funding_current_after_cost_basis_50pct_realization
2026-09-08T22:27:25+00:00,funding_spread|SOPHUSDT|2026-09-08T22:25:50+00:00,funding_spread,SOPHUSDT,long Bitget / short Gate,1.265600,100.00,0.006328,funding_current_after_cost_basis_50pct_realization
2026-09-09T18:01:53+00:00,funding_spread|IOSTUSDT|2026-09-09T18:00:14+00:00,funding_spread,IOSTUSDT,short Bitget / long Gate,21.958650,100.00,0.109793,funding_current_after_cost_basis_50pct_realization
2026-09-09T19:37:40+00:00,funding_spread|IOSTUSDT|2026-09-09T19:35:46+00:00,funding_spread,IOSTUSDT,short Bitget / long Gate,10.563650,100.00,0.052818,funding_current_after_cost_basis_50pct_realization
2026-09-10T09:21:32+00:00,funding_spread|牛来USDT|2026-09-10T09:19:40+00:00,funding_spread,牛来USDT,long Bitget / short Gate,37.001500,100.00,0.185007,funding_current_after_cost_basis_50pct_realization
2026-09-10T09:38:22+00:00,funding_spread|牛来USDT|2026-09-10T09:36:29+00:00,funding_spread,牛来USDT,long Bitget / short Gate,40.151850,100.00,0.200759,funding_current_after_cost_basis_50pct_realization
2026-09-10T11:19:46+00:00,funding_spread|牛来USDT|2026-09-10T11:18:11+00:00,funding_spread,牛来USDT,long Bitget / short Gate,39.580700,100.00,0.197904,funding_current_after_cost_basis_50pct_realization
2026-09-10T19:05:10+00:00,funding_spread|牛来USDT|2026-09-10T19:03:21+00:00,funding_spread,牛来USDT,long Bitget / short Gate,7.121850,100.00,0.035609,funding_current_after_cost_basis_50pct_realization
